date,sales
2017-12-09,5262.210000000001
2017-12-10,5626.0199999999995
2017-12-11,22144.269999999993
2017-12-12,16100.05
2017-12-13,22838.199999999997
2017-12-14,16028.339999999995
2017-12-15,16107.030000000002
2017-12-16,6504.359999999998
2017-12-17,4757.129999999999
2017-12-18,26477.59000000003
2017-12-19,13848.769999999997
2017-12-20,8844.970000000001
2017-12-21,8261.179999999997
2017-12-22,3495.72
2017-12-23,1136.05
2017-12-24,554.4499999999999
2017-12-25,1188.0400000000004
2017-12-26,7100.350000000003
2017-12-27,11379.350000000002
2017-12-28,8924.199999999995
2017-12-29,6774.04
2017-12-30,2597.48
2017-12-31,1557.3600000000004
2018-01-01,2034.31
2018-01-02,9603.270000000002
2018-01-03,8686.169999999995
2018-01-04,8077.159999999996
2018-01-05,6834.93
2018-01-06,3397.5899999999997
2018-01-07,4557.01
2018-01-08,12149.439999999999
2018-01-09,12475.550000000003
2018-01-10,12771.769999999995
2018-01-11,7812.4599999999955
2018-01-12,6393.729999999998
2018-01-13,3032.159999999999
2018-01-14,2755.4
2018-01-15,8304.710000000003
2018-01-16,10670.199999999993
2018-01-17,8923.499999999993
2018-01-18,5995.47
2018-01-19,8195.479999999998
2018-01-20,4018.2700000000004
2018-01-21,3317.6599999999994
2018-01-22,15807.069999999996
2018-01-23,10405.439999999997
2018-01-24,8905.439999999997
2018-01-25,10298.300000000001
2018-01-26,7153.429999999999
2018-01-27,3396.71
2018-01-28,3298.0900000000006
2018-01-29,12869.019999999995
2018-01-30,10171.609999999993
2018-01-31,8165.719999999998
2018-02-01,8248.15
2018-02-02,11119.23
2018-02-03,2886.07
2018-02-04,3193.079999999999
2018-02-05,13837.07
2018-02-06,14288.709999999994
2018-02-07,13002.669999999996
2018-02-08,10854.479999999994
2018-02-09,5891.379999999999
2018-02-10,1767.5100000000002
2018-02-11,4412.58
2018-02-12,12214.17
2018-02-13,10500.990000000002
2018-02-14,8759.249999999996
2018-02-15,7556.339999999996
2018-02-16,8153.129999999999
2018-02-17,4292.590000000002
2018-02-18,3916.050000000001
2018-02-19,13308.500000000002
2018-02-20,11635.709999999997
2018-02-21,12223.31999999999
2018-02-22,10592.659999999996
2018-02-23,9415.07
2018-02-24,4958.179999999999
2018-02-25,3974.09
